trial,respColour,colour,err_colour,err_colour_z,cue,respMem_1,sens_Resp,err_1,confMem_1,zconfMem_1,err1_cal,respMem_2,correctMem_2,err_2,confMem_2,zconfMem_2,err2_cal,response_1,correct_1,conf_1,zconf_1,subID,conf,zconf,errDiff,errDiff_cal,errDiff_cal_abs,cue_category,colour_name,lbound,ubound,colour_ans,cueID,colourCal,colourCue
227,22,207,16,-0.405655109457011,58,195,191,12,34,-0.350968314901336,4,239,0,32,59,1.01168495871329,48,1,0,2,-0.607488317644682,49,5,-0.0345032779671176,20,44,44,desert,207,202.5,211.5,23,38,22,22
228,31,279,34,-0.0785871600627804,59,280,313,1,26,-0.938978057144413,33,291,0,12,23,-0.959663269361322,22,2,0,5,1.41747274117093,49,6,0.655562281375236,11,-11,11,desert,279,274.5,283.5,31,39,30,30
229,25,243,50,0.212139906065424,29,224,293,19,50,0.825051169584817,69,243,1,0,22,-1.01442294236339,50,1,0,4,0.742485721565723,49,6,0.655562281375236,-19,-19,19,town,243,238.5,247.5,27,19,26,26
230,40,360,358,5.80863592903336,5,358,2,2,43,0.310542645122125,4,337,0,23,59,1.01168495871329,25,1,1,5,1.41747274117093,49,5,-0.0345032779671176,21,21,21,lake,360,355.5,364.5,40,5,39,39
231,11,108,61,0.412014764028565,33,95,47,13,51,0.898552387365202,48,81,0,27,27,-0.740624577353031,34,1,0,2,-0.607488317644682,49,6,0.655562281375236,14,-14,14,school,108,103.5,112.5,12,22,11,11
232,9,144,56,0.321162555863501,2,81,200,63,40,0.0900389917809712,119,92,0,52,40,-0.028748828326088,108,1,1,1,-1.28247533724988,49,4,-0.724568837309472,-11,-11,11,lake,144,139.5,148.5,16,2,15,15
233,10,99,48,0.175799022799399,27,89,51,10,33,-0.424469532681721,38,110,1,11,88,2.5997154757734,59,1,0,2,-0.607488317644682,49,5,-0.0345032779671176,1,21,21,town,99,94.5,103.5,11,17,10,10
234,38,342,30,-0.151268926594832,55,345,312,3,30,-0.644973186022875,33,352,0,10,52,0.628367247698783,40,2,0,2,-0.607488317644682,49,6,0.655562281375236,7,7,7,sea,342,337.5,346.5,38,35,37,37
235,33,270,35,-0.0604167184297676,54,296,305,26,59,1.48656212960828,9,39,0,129,24,-0.904903596359249,94,1,0,2,-0.607488317644682,49,2,-2.10469995599418,103,85,85,sea,270,265.5,274.5,30,34,29,29
236,9,162,11,-0.496507317622075,20,78,173,84,34,-0.350968314901336,95,51,0,111,63,1.23072365072158,122,2,1,2,-0.607488317644682,49,6,0.655562281375236,27,27,27,city,162,157.5,166.5,18,13,17,17
237,3,90,36,-0.0422462767967548,19,30,54,60,25,-1.0124792749248,24,187,0,97,49,0.464088228692565,133,1,1,2,-0.607488317644682,49,5,-0.0345032779671176,37,109,109,city,90,85.5,94.5,10,12,9,9
238,6,63,21,-0.314802901291947,56,53,42,10,49,0.751549951804433,11,40,0,23,31,-0.521585885344741,2,2,0,6,2.09245976077613,49,4,-0.724568837309472,13,-9,9,desert,63,58.5,67.5,7,36,6,6
239,4,36,5,-0.605529967420151,32,32,41,4,30,-0.644973186022875,9,43,1,7,22,-1.01442294236339,2,2,1,1,-1.28247533724988,49,6,0.655562281375236,3,-7,7,school,36,31.5,40.5,4,21,3,3
240,40,9,41,0.0486059313683092,13,356,50,13,37,-0.130464661560183,54,343,0,26,38,-0.138268174330233,67,1,1,5,1.41747274117093,49,6,0.655562281375236,13,13,13,mountain,9,4.5,13.5,1,10,40,40
241,3,171,11,-0.238307943632852,28,28,160,143,11,-0.558387724773675,132,308,0,137,11,-0.410292518717145,148,2,1,2,-1.65481297092306,50,3,-1.03177683533133,-6,16,16,town,171,166.5,175.5,19,18,18,18
242,3,18,9,-0.274760401549923,17,25,27,7,25,0.184360792740002,2,225,0,153,16,-0.0611073964046811,162,1,1,3,-0.795169869144846,50,3,-1.03177683533133,146,160,160,city,18,13.5,22.5,2,11,1,1
243,40,9,14,-0.183629256757246,13,356,23,13,17,-0.240066931553528,27,356,0,13,74,3.9894400224199,27,1,0,3,-0.795169869144846,50,4,-0.189510030979223,0,0,0,mountain,9,4.5,13.5,1,10,40,40
244,19,207,7,-0.311212859466995,58,175,200,32,12,-0.505334259236984,25,235,0,28,18,0.0785666525203043,35,1,1,6,1.78375943618979,50,3,-1.03177683533133,-4,10,10,desert,207,202.5,211.5,23,38,22,22
245,5,54,3,-0.384117775301137,51,46,51,8,19,-0.133960000480145,5,54,1,0,14,-0.200781445329667,3,1,0,4,0.064473232633366,50,5,0.652756773372881,-8,-2,2,sea,54,49.5,58.5,6,31,5,5
246,1,351,2,-0.402344004259672,60,9,349,18,34,0.661841982570223,20,11,0,20,9,-0.54996656764213,22,2,1,5,0.924116334411578,50,6,1.49502357772499,2,2,2,desert,351,346.5,355.5,39,40,38,38
247,2,306,3,-0.384117775301137,24,20,309,74,10,-0.611441190310366,71,324,0,18,7,-0.689640616567115,15,2,1,3,-0.795169869144846,50,2,-1.87404363968343,-56,-56,56,city,306,301.5,310.5,34,15,33,33
248,37,270,11,-0.238307943632852,54,336,281,66,59,1.9881786209875,55,299,0,29,8,-0.619803592104623,18,1,0,4,0.064473232633366,50,4,-0.189510030979223,-37,-37,37,sea,270,265.5,274.5,30,34,29,29
